Date,"Flu","Sinusitis","Fatigue","Feeling cold","Bronchitis","Pneumonia","Headache","Congestion","Chest pain","Soar throat"
2015-08-17,77,2164,138,0,2997,8051,1760,135,454,0
2015-08-18,82,2267,129,0,3061,8596,1496,146,357,0
2015-08-19,90,2093,142,0,2963,8472,1447,134,351,0
2015-08-20,84,2073,124,0,2759,7740,1464,124,341,0
2015-08-21,87,1864,164,0,2558,7209,1319,127,292,0
2015-08-22,81,1587,117,1,2268,6591,1236,83,225,0
2015-08-23,99,1695,118,0,2369,8768,1274,108,308,0
2015-08-24,84,2172,147,0,3135,8417,1409,135,388,0
2015-08-25,118,2243,148,0,3220,8009,1326,131,377,0
2015-08-26,95,2164,133,1,3014,7878,1348,135,312,0
2015-08-27,91,2086,117,1,2845,7540,1295,117,301,0
2015-08-28,86,1884,148,0,2658,6890,1208,106,283,0
2015-08-29,85,1680,111,0,2299,6285,1145,74,290,0
2015-08-30,108,1692,107,0,2435,6861,1288,108,327,0
2015-08-31,94,2250,140,0,3112,7703,1471,144,391,0
2015-09-01,101,2223,182,1,3392,7999,1528,142,344,0
2015-09-02,102,2148,143,0,3425,8082,1523,139,399,0
2015-09-03,99,2373,162,0,3159,7458,1523,127,329,0
2015-09-04,105,2027,123,0,2983,7349,1279,107,288,0
2015-09-05,79,1662,85,0,2519,6515,1173,85,252,0
2015-09-06,102,1741,91,1,2415,7127,1372,116,279,0
2015-09-07,125,2179,145,2,2882,7965,1444,142,408,0
2015-09-08,135,2318,152,1,3372,8574,1462,146,329,0
2015-09-09,106,2225,181,0,3347,8118,1371,155,315,0
2015-09-10,85,2396,133,1,3259,7921,1368,142,329,0
2015-09-11,102,1940,127,1,2822,7330,1357,140,290,0
2015-09-12,106,1818,108,0,2662,7122,1138,113,246,0
2015-09-13,91,1828,127,0,2618,7291,1304,106,280,0
2015-09-14,129,2337,130,0,3437,8322,1517,167,361,0
2015-09-15,100,2335,159,0,3760,8371,1579,153,340,0
2015-09-16,119,2435,189,1,3399,8326,1357,158,347,0
2015-09-17,112,2210,153,0,3273,8161,1398,164,317,0
2015-09-18,117,2079,137,2,3141,7649,1432,141,276,0
2015-09-19,106,1810,116,0,2557,7139,1230,108,299,0
2015-09-20,89,1963,109,0,2783,7287,1329,138,259,0
2015-09-21,118,2504,121,0,3709,9437,1499,165,389,0
2015-09-22,146,2605,154,0,3699,8395,1626,172,356,0
2015-09-23,101,2335,101,0,3391,8069,1381,151,353,0
2015-09-24,110,2230,147,0,3415,8395,1316,137,341,0
2015-09-25,118,2593,93,0,3243,7917,1218,135,314,0
2015-09-26,89,2429,101,0,2697,6746,1138,106,287,0
2015-09-27,112,2490,109,1,2857,7038,1339,129,308,0
2015-09-28,139,3264,154,0,3587,8769,1540,157,369,0
2015-09-29,143,3236,136,1,3874,8861,1601,172,390,0
2015-09-30,147,3253,121,0,3914,8603,7364,174,383,0
2015-10-01,141,2886,110,0,3575,8253,1486,144,357,0
2015-10-02,122,2746,106,0,3417,8095,1362,99,324,0
2015-10-03,83,2430,90,0,2787,7490,1263,108,256,0
2015-10-04,114,2533,108,0,5945,7837,1394,133,285,0
2015-10-05,152,3356,140,0,4193,9801,1596,186,455,0
2015-10-06,139,3274,167,0,4441,9722,1492,197,444,0
2015-10-07,148,3163,141,0,4318,9260,1615,137,454,0
2015-10-08,142,3083,145,0,4190,9161,1890,181,410,0
2015-10-09,130,2884,120,0,3516,7979,1406,159,407,0
2015-10-10,103,2303,102,0,2923,7903,1347,123,281,0
2015-10-11,120,2501,116,0,3040,8049,1418,157,286,0
2015-10-12,145,3255,141,0,4016,9181,1694,205,415,0
2015-10-13,126,3236,186,0,4317,9428,1549,155,386,0
2015-10-14,147,3152,149,2,4127,9152,1651,170,475,0
2015-10-15,158,3097,165,0,3872,9073,1426,165,417,0
2015-10-16,104,2824,139,0,3551,8359,1496,146,341,0
2015-10-17,99,2350,107,0,2880,7689,1342,104,275,0
2015-10-18,121,2583,119,0,3007,8274,1482,123,306,0
2015-10-19,158,3240,147,0,4164,9492,1776,189,431,0
