Date,"Acute exacerbation of chronic obstructive pulmonary disease","Paracetamol","1580 influenza pandemic","Spanish flu","2017–2018 United States flu season","2007 Bernard Matthews H5N1 outbreak","2006 H5N1 outbreak in India","2008 H5N1 outbreak in West Bengal","Antigen","1977 Russian flu"
2015-08-10,226,5193,0,186,0,9,12,7,804,0
2015-08-11,241,5421,0,178,0,4,6,1,927,0
2015-08-12,207,5554,0,179,0,11,6,7,996,0
2015-08-13,196,5351,0,176,0,7,7,6,991,0
2015-08-14,192,4759,0,181,0,8,7,3,783,0
2015-08-15,159,4353,0,209,0,10,8,1,682,0
2015-08-16,138,4738,0,194,0,10,8,6,790,0
2015-08-17,235,5424,0,199,0,12,14,6,921,0
2015-08-18,252,5881,0,248,0,17,11,3,976,0
2015-08-19,234,5975,0,181,0,6,12,3,964,0
2015-08-20,227,5616,0,189,0,13,5,2,915,0
2015-08-21,201,5222,0,168,0,10,11,6,908,0
2015-08-22,152,4326,0,245,0,12,9,5,757,0
2015-08-23,188,4904,0,336,0,6,9,3,899,0
2015-08-24,203,5580,0,229,0,9,12,3,1033,0
2015-08-25,224,5534,0,216,0,8,8,6,1016,0
2015-08-26,253,5252,0,160,0,9,13,8,1056,0
2015-08-27,259,5425,0,186,0,9,4,6,1191,0
2015-08-28,218,4954,0,186,0,6,10,2,1811,0
2015-08-29,151,4480,0,199,0,7,6,3,661,0
2015-08-30,198,4849,0,179,0,11,8,6,775,0
2015-08-31,212,5506,0,214,0,6,8,5,950,0
2015-09-01,241,5354,0,210,0,15,13,9,1137,0
2015-09-02,259,5757,0,187,0,12,9,7,1097,0
2015-09-03,226,5617,0,198,0,16,10,13,1122,0
2015-09-04,188,5235,0,176,0,14,8,6,959,0
2015-09-05,164,4535,0,202,0,6,5,2,680,0
2015-09-06,170,5098,0,201,0,9,11,7,837,0
2015-09-07,223,5782,0,204,0,15,14,8,968,0
2015-09-08,254,5872,0,247,0,15,15,19,1154,0
2015-09-09,254,5682,0,302,0,16,11,8,1147,0
2015-09-10,224,5732,0,243,0,8,8,6,1158,0
2015-09-11,199,5160,0,179,0,13,15,9,1094,0
2015-09-12,181,4839,0,187,0,13,6,2,780,0
2015-09-13,162,5168,0,286,0,16,13,7,967,0
2015-09-14,235,5888,0,216,0,7,5,4,1168,0
2015-09-15,231,6363,0,250,0,7,12,4,1221,0
2015-09-16,242,6065,0,214,0,12,9,6,1381,0
2015-09-17,244,5930,0,202,0,9,8,6,1222,0
2015-09-18,205,5619,0,242,0,12,6,4,1106,0
2015-09-19,161,4733,0,189,0,15,12,11,783,0
2015-09-20,175,5182,0,263,0,6,6,2,849,0
2015-09-21,276,6046,0,235,0,5,12,5,1227,0
2015-09-22,268,6459,0,234,0,13,8,6,1223,0
2015-09-23,217,6470,0,246,0,10,3,5,1222,0
2015-09-24,223,5871,0,183,0,14,9,5,1149,0
2015-09-25,168,5465,0,162,0,16,8,3,999,0
2015-09-26,135,5009,0,144,0,8,12,6,759,0
2015-09-27,167,5390,0,191,0,8,4,6,976,0
