Semaine,flu: (Californie),polypnea: (Californie),conjonctivis: (Californie),cyanosis: (Californie),h1n1: (Californie)
2017-06-18,7,0,0,< 1,< 1
2017-06-25,7,0,0,< 1,< 1
2017-07-02,7,0,0,< 1,0
2017-07-09,7,0,0,< 1,< 1
2017-07-16,6,0,0,< 1,< 1
2017-07-23,7,0,0,< 1,< 1
2017-07-30,6,0,0,< 1,< 1
2017-08-06,7,0,0,< 1,< 1
2017-08-13,8,0,0,< 1,< 1
2017-08-20,9,0,0,< 1,< 1
2017-08-27,9,0,0,< 1,0
2017-09-03,12,0,0,< 1,< 1
2017-09-10,16,0,0,< 1,< 1
2017-09-17,19,0,0,< 1,< 1
2017-09-24,24,0,0,< 1,< 1
2017-10-01,22,0,0,< 1,< 1
2017-10-08,21,0,0,< 1,< 1
2017-10-15,23,0,0,< 1,< 1
2017-10-22,21,0,0,0,< 1
2017-10-29,20,0,0,< 1,< 1
2017-11-05,21,0,0,< 1,< 1
2017-11-12,18,0,0,< 1,< 1
2017-11-19,17,0,0,< 1,0
2017-11-26,19,0,0,< 1,< 1
2017-12-03,21,0,0,< 1,< 1
2017-12-10,23,0,0,< 1,< 1
2017-12-17,36,0,0,< 1,< 1
2017-12-24,62,0,0,< 1,< 1
2017-12-31,80,0,0,< 1,< 1
2018-01-07,98,0,0,< 1,< 1
2018-01-14,100,0,0,< 1,< 1
2018-01-21,88,0,0,< 1,< 1
2018-01-28,76,0,0,< 1,< 1
2018-02-04,67,0,0,< 1,< 1
2018-02-11,56,0,0,< 1,< 1
2018-02-18,38,0,0,< 1,< 1
2018-02-25,33,0,0,< 1,< 1
2018-03-04,27,0,0,< 1,< 1
2018-03-11,22,0,0,< 1,< 1
2018-03-18,17,0,0,< 1,< 1
2018-03-25,17,0,0,< 1,< 1
2018-04-01,16,0,0,< 1,< 1
2018-04-08,13,0,0,< 1,< 1
2018-04-15,12,0,0,< 1,< 1
2018-04-22,11,0,0,< 1,< 1
2018-04-29,11,0,0,< 1,< 1
2018-05-06,10,0,0,< 1,< 1
2018-05-13,9,0,0,< 1,0
2018-05-20,9,0,0,0,< 1
2018-05-27,9,0,0,< 1,< 1
2018-06-03,8,0,0,< 1,< 1
2018-06-10,8,0,0,< 1,< 1
2018-06-17,8,0,0,< 1,< 1
2018-06-24,7,0,0,< 1,0
2018-07-01,6,0,0,< 1,0
2018-07-08,7,0,0,< 1,0
2018-07-15,6,0,0,< 1,< 1
2018-07-22,6,0,0,< 1,0
2018-07-29,7,0,0,< 1,0
2018-08-05,7,0,0,< 1,0
2018-08-12,8,0,0,< 1,< 1
2018-08-19,9,0,0,< 1,0
2018-08-26,11,0,0,< 1,< 1
2018-09-02,16,0,0,< 1,< 1
2018-09-09,18,0,0,< 1,< 1
2018-09-16,20,0,0,< 1,< 1
2018-09-23,28,0,0,< 1,< 1
2018-09-30,33,0,0,< 1,< 1
2018-10-07,33,0,0,< 1,< 1
2018-10-14,35,0,0,< 1,< 1
2018-10-21,30,0,0,< 1,< 1
2018-10-28,27,0,0,< 1,< 1
2018-11-04,24,0,0,< 1,< 1
2018-11-11,21,0,0,< 1,< 1
2018-11-18,20,0,0,< 1,< 1
2018-11-25,21,0,0,< 1,< 1
2018-12-02,20,0,0,< 1,< 1
2018-12-09,20,0,0,< 1,< 1
2018-12-16,23,0,0,< 1,< 1
2018-12-23,26,0,0,< 1,3
2018-12-30,31,0,0,< 1,2
2019-01-06,33,0,0,< 1,1
2019-01-13,23,0,0,< 1,< 1
2019-01-20,22,0,0,< 1,< 1
2019-01-27,24,0,0,< 1,< 1
2019-02-03,22,0,0,< 1,< 1
2019-02-10,21,0,0,< 1,< 1
2019-02-17,22,0,0,< 1,< 1
2019-02-24,23,0,0,< 1,< 1
2019-03-03,22,0,0,< 1,< 1
2019-03-10,20,0,0,< 1,< 1
2019-03-17,21,0,0,< 1,< 1
2019-03-24,18,0,0,< 1,< 1
2019-03-31,16,0,0,< 1,< 1
2019-04-07,14,< 1,0,< 1,< 1
2019-04-14,13,0,0,< 1,< 1
2019-04-21,12,0,0,< 1,< 1
2019-04-28,11,0,0,< 1,< 1
2019-05-05,11,0,0,< 1,< 1
2019-05-12,10,0,0,< 1,< 1
2019-05-19,11,0,0,< 1,< 1
2019-05-26,10,0,0,< 1,< 1
2019-06-02,10,0,0,< 1,< 1
2019-06-09,8,0,0,< 1,< 1
2019-06-16,8,0,0,< 1,0
2019-06-23,8,0,0,< 1,< 1
2019-06-30,7,0,0,< 1,< 1
2019-07-07,8,0,0,< 1,< 1
2019-07-14,8,0,0,0,< 1
2019-07-21,7,0,0,< 1,< 1
2019-07-28,7,0,0,< 1,0
2019-08-04,8,0,0,< 1,0
2019-08-11,8,0,0,< 1,0
2019-08-18,10,0,0,< 1,< 1
2019-08-25,11,0,0,< 1,0
2019-09-01,13,0,0,< 1,0
2019-09-08,17,0,0,< 1,< 1
2019-09-15,22,0,0,< 1,< 1
2019-09-22,31,0,0,< 1,< 1
2019-09-29,38,0,0,< 1,< 1
2019-10-06,35,0,0,< 1,< 1
2019-10-13,35,0,0,< 1,< 1
2019-10-20,32,0,0,< 1,< 1
2019-10-27,27,0,0,< 1,< 1
2019-11-03,29,0,0,< 1,< 1
2019-11-10,27,0,0,< 1,< 1
2019-11-17,15,0,0,< 1,< 1
2019-11-24,12,0,0,< 1,< 1
2019-12-01,14,0,0,< 1,< 1
2019-12-08,16,0,0,< 1,< 1
2019-12-15,17,0,0,< 1,< 1
2019-12-22,20,0,0,< 1,< 1
2019-12-29,23,0,0,< 1,< 1
2020-01-05,25,0,0,< 1,< 1
2020-01-12,27,0,0,< 1,< 1
2020-01-19,32,0,0,< 1,< 1
2020-01-26,43,0,0,< 1,1
2020-02-02,35,0,0,< 1,2
2020-02-09,29,0,0,< 1,1
2020-02-16,25,0,0,< 1,1
2020-02-23,47,0,0,< 1,2
2020-03-01,58,0,0,< 1,3
2020-03-08,100,0,0,< 1,10
2020-03-15,89,0,0,< 1,14
2020-03-22,65,0,0,< 1,8
2020-03-29,57,0,0,< 1,6
2020-04-05,41,0,0,< 1,4
2020-04-12,31,0,0,< 1,3
2020-04-19,29,0,0,< 1,2
2020-04-26,26,0,0,< 1,2
2020-05-03,20,0,0,< 1,1
2020-05-10,19,0,0,< 1,1
2020-05-17,16,0,0,< 1,1
2020-05-24,16,0,0,< 1,1
2020-05-31,7,0,0,< 1,< 1
2020-06-07,8,0,0,< 1,< 1
2020-06-14,8,0,0,< 1,< 1
2020-06-21,13,0,0,< 1,< 1
2020-06-28,23,0,0,< 1,1
2020-07-05,14,0,0,< 1,1
2020-07-12,16,0,0,< 1,1
2020-07-19,14,0,0,< 1,2
2020-07-26,11,0,0,< 1,1
2020-08-02,10,0,0,< 1,3
2020-08-09,13,0,0,< 1,2
2020-08-16,13,0,0,< 1,1
2020-08-23,12,0,0,< 1,1
2020-08-30,16,0,0,< 1,1
2020-09-06,19,0,0,< 1,1
2020-09-13,23,0,0,< 1,1
2020-09-20,28,0,0,< 1,1
2020-09-27,28,0,0,< 1,1
2020-10-04,32,0,0,< 1,1
2020-10-11,26,0,0,< 1,1
2020-10-18,24,0,0,< 1,1
2020-10-25,23,0,0,< 1,1
2020-11-01,14,0,0,< 1,< 1
2020-11-08,18,0,0,< 1,< 1
2020-11-15,22,0,0,< 1,1
2020-11-22,14,0,0,< 1,1
2020-11-29,18,0,0,< 1,< 1
2020-12-06,20,0,0,< 1,1
2020-12-13,19,0,0,< 1,1
2020-12-20,14,0,0,< 1,< 1
2020-12-27,16,0,0,0,< 1
2021-01-03,13,0,0,< 1,< 1
2021-01-10,11,0,0,< 1,< 1
2021-01-17,10,0,0,< 1,< 1
2021-01-24,10,0,0,< 1,< 1
2021-01-31,8,0,0,< 1,< 1
2021-02-07,7,0,0,< 1,< 1
2021-02-14,7,0,0,< 1,< 1
2021-02-21,9,0,0,< 1,< 1
2021-02-28,7,0,0,< 1,< 1
2021-03-07,7,0,0,< 1,< 1
2021-03-14,7,0,0,< 1,< 1
2021-03-21,7,0,0,< 1,< 1
2021-03-28,6,0,0,< 1,< 1
2021-04-04,7,0,0,< 1,< 1
2021-04-11,7,0,0,< 1,< 1
2021-04-18,6,0,0,< 1,< 1
2021-04-25,6,0,0,< 1,< 1
2021-05-02,5,0,0,< 1,< 1
2021-05-09,6,0,0,< 1,< 1
2021-05-16,6,0,0,< 1,< 1
2021-05-23,5,0,0,< 1,< 1
2021-05-30,13,0,0,< 1,< 1
2021-06-06,6,0,0,< 1,< 1
2021-06-13,5,0,0,< 1,< 1
2021-06-20,5,0,0,< 1,< 1
2021-06-27,5,0,0,< 1,< 1
2021-07-04,6,0,0,< 1,< 1
2021-07-11,6,0,0,< 1,< 1
2021-07-18,7,0,0,< 1,< 1
2021-07-25,7,0,0,< 1,< 1
2021-08-01,9,0,0,< 1,< 1
2021-08-08,9,0,0,0,< 1
2021-08-15,10,0,0,< 1,< 1
2021-08-22,10,0,0,< 1,< 1
2021-08-29,11,0,0,< 1,< 1
2021-09-05,12,0,0,< 1,< 1
2021-09-12,15,0,0,< 1,< 1
2021-09-19,17,0,0,< 1,< 1
