Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2023-01-15,9,10,3,3,3
2023-01-22,9,11,3,3,3
2023-01-29,9,14,3,3,3
2023-02-05,10,13,3,3,3
2023-02-12,9,13,3,3,3
2023-02-19,9,13,3,3,3
2023-02-26,9,12,3,3,3
2023-03-05,9,13,3,3,3
2023-03-12,8,13,3,3,3
2023-03-19,7,12,3,3,3
2023-03-26,7,14,3,3,3
2023-04-02,7,13,3,3,3
2023-04-09,7,13,3,3,3
2023-04-16,6,12,3,3,3
2023-04-23,6,14,3,2,3
2023-04-30,5,12,3,3,3
2023-05-07,6,12,3,2,3
2023-05-14,6,13,3,3,3
2023-05-21,5,13,3,2,3
2023-05-28,5,13,3,2,3
2023-06-04,5,13,3,2,3
2023-06-11,5,13,3,2,3
2023-06-18,5,12,3,2,3
2023-06-25,4,11,3,2,3
2023-07-02,4,13,3,2,3
2023-07-09,4,12,3,2,3
2023-07-16,4,11,3,2,3
2023-07-23,4,11,3,2,3
2023-07-30,5,11,3,2,3
2023-08-06,5,11,3,2,3
2023-08-13,6,11,3,2,3
2023-08-20,7,12,3,2,3
2023-08-27,9,12,3,2,3
2023-09-03,10,12,3,2,3
2023-09-10,13,12,3,2,3
2023-09-17,13,11,3,2,3
2023-09-24,14,12,3,3,3
2023-10-01,15,12,3,3,3
2023-10-08,14,12,3,3,3
2023-10-15,14,13,3,3,3
2023-10-22,13,13,3,3,3
2023-10-29,13,12,3,3,3
2023-11-05,13,13,3,3,3
2023-11-12,14,14,3,3,3
2023-11-19,12,13,3,3,3
2023-11-26,13,14,3,3,3
2023-12-03,14,15,3,3,3
2023-12-10,17,19,3,4,4
2023-12-17,20,22,3,4,4
2023-12-24,18,20,3,5,4
2023-12-31,17,15,3,4,4
2024-01-07,13,14,3,3,3
2024-01-14,11,14,3,3,3
2024-01-21,10,12,3,3,3
2024-01-28,11,12,3,3,3
2024-02-04,9,12,3,3,3
2024-02-11,8,13,3,3,3
2024-02-18,10,13,3,3,3
2024-02-25,8,11,3,3,3
2024-03-03,7,12,3,3,3
2024-03-10,8,13,3,3,3
2024-03-17,7,13,3,3,3
2024-03-24,7,12,3,3,3
2024-03-31,8,12,3,3,3
2024-04-07,7,13,3,3,3
2024-04-14,7,14,3,3,3
2024-04-21,8,12,3,3,3
2024-04-28,8,14,3,3,3
2024-05-05,7,14,3,3,3
2024-05-12,7,20,3,2,3
2024-05-19,7,22,3,2,3
2024-05-26,7,22,3,3,4
2024-06-02,8,20,3,3,4
2024-06-09,7,18,4,2,4
2024-06-16,7,23,3,2,4
2024-06-23,6,20,3,2,3
2024-06-30,5,21,3,2,4
2024-07-07,6,20,3,2,4
2024-07-14,6,19,3,2,3
2024-07-21,5,12,3,2,4
2024-07-28,6,11,3,2,4
