Semaine,flu: (Californie),shaking shills,myalgia,irratibility,diarrhea,sinusitus,stomach flu,fatigue,feeling cold,difficulty breathing,sneezing,dry cough,difficulty sleeping,vomiting,abdominal pain,influenza,sore throat,dyspnea,rhinorrhea,throwing up,polypnea,conjonctivis,cyanosis,h1n1,hygiene,social distancing,drug use,runny nose,chest pain,arthralgia,fainting,pass out,bronchitis,pneumonia,flu symptoms,headache,fever,migraine,congestion,sickness
2014-11-16,0.1416666666666667,0.0,0.008333333333333335,0.0,0.07500000000000001,0.0,0.01666666666666667,0.03333333333333334,0.008333333333333335,0.0,0.01666666666666667,0.008333333333333335,0.0,0.03333333333333334,0.025000000000000005,0.008333333333333335,0.05833333333333334,0.008333333333333335,0.0,0.025000000000000005,0.0,0.0,0.008333333333333335,0.008333333333333335,0.01666666666666667,0.0,0.01666666666666667,0.01666666666666667,0.03333333333333334,0.0,0.008333333333333335,0.008333333333333335,0.03333333333333334,0.05000000000000001,0.025000000000000005,0.08333333333333334,0.9411764705882353,0.23529411764705882,0.17647058823529413,0.23529411764705882
2014-11-23,0.12068965517241378,0.0,0.008620689655172412,0.0,0.08620689655172413,0.0,0.017241379310344824,0.03448275862068965,0.008620689655172412,0.008620689655172412,0.017241379310344824,0.008620689655172412,0.0,0.03448275862068965,0.025862068965517238,0.008620689655172412,0.0689655172413793,0.008620689655172412,0.0,0.03448275862068965,0.0,0.0,0.008620689655172412,0.008620689655172412,0.008620689655172412,0.0,0.008620689655172412,0.017241379310344824,0.025862068965517238,0.0,0.008620689655172412,0.008620689655172412,0.03448275862068965,0.051724137931034475,0.017241379310344824,0.08620689655172413,1.1428571428571428,0.21428571428571427,0.21428571428571427,0.2857142857142857
2014-11-30,0.14754098360655743,0.0,0.008196721311475412,0.0,0.08196721311475412,0.0,0.024590163934426236,0.03278688524590165,0.008196721311475412,0.008196721311475412,0.008196721311475412,0.008196721311475412,0.0,0.03278688524590165,0.024590163934426236,0.016393442622950824,0.057377049180327884,0.008196721311475412,0.0,0.024590163934426236,0.0,0.0,0.008196721311475412,0.008196721311475412,0.016393442622950824,0.0,0.008196721311475412,0.008196721311475412,0.03278688524590165,0.0,0.008196721311475412,0.008196721311475412,0.03278688524590165,0.04918032786885247,0.024590163934426236,0.07377049180327871,0.9444444444444444,0.2222222222222222,0.16666666666666666,0.2222222222222222
2014-12-07,0.13821138211382117,0.0,0.00813008130081301,0.0,0.0731707317073171,0.0,0.01626016260162602,0.03252032520325204,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.0,0.024390243902439032,0.024390243902439032,0.01626016260162602,0.05691056910569107,0.00813008130081301,0.00813008130081301,0.024390243902439032,0.0,0.0,0.00813008130081301,0.00813008130081301,0.01626016260162602,0.0,0.01626016260162602,0.00813008130081301,0.03252032520325204,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.03252032520325204,0.05691056910569107,0.024390243902439032,0.0731707317073171,1.0588235294117647,0.23529411764705882,0.17647058823529413,0.23529411764705882
2014-12-14,0.14516129032258066,0.0,0.008064516129032258,0.0,0.07258064516129033,0.0,0.024193548387096774,0.03225806451612903,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,0.03225806451612903,0.024193548387096774,0.016129032258064516,0.06451612903225806,0.008064516129032258,0.0,0.024193548387096774,0.0,0.0,0.008064516129032258,0.008064516129032258,0.016129032258064516,0.0,0.008064516129032258,0.016129032258064516,0.03225806451612903,0.0,0.008064516129032258,0.008064516129032258,0.03225806451612903,0.04838709677419355,0.024193548387096774,0.07258064516129033,1.0,0.2222222222222222,0.16666666666666666,0.2222222222222222
2014-12-21,0.15492957746478875,0.0,0.007042253521126762,0.0,0.07042253521126761,0.0,0.028169014084507046,0.02112676056338028,0.007042253521126762,0.007042253521126762,0.014084507042253523,0.007042253521126762,0.0,0.028169014084507046,0.02112676056338028,0.014084507042253523,0.07746478873239437,0.007042253521126762,0.0,0.028169014084507046,0.0,0.0,0.0,0.007042253521126762,0.007042253521126762,0.0,0.007042253521126762,0.014084507042253523,0.028169014084507046,0.0,0.007042253521126762,0.007042253521126762,0.035211267605633804,0.06338028169014086,0.035211267605633804,0.07042253521126761,0.9545454545454546,0.13636363636363635,0.13636363636363635,0.22727272727272727
2014-12-28,0.1818181818181818,0.0,0.006493506493506492,0.0,0.07142857142857141,0.0,0.019480519480519477,0.02597402597402597,0.006493506493506492,0.006493506493506492,0.012987012987012984,0.006493506493506492,0.0,0.02597402597402597,0.019480519480519477,0.012987012987012984,0.07142857142857141,0.006493506493506492,0.0,0.02597402597402597,0.0,0.0,0.006493506493506492,0.006493506493506492,0.006493506493506492,0.0,0.006493506493506492,0.012987012987012984,0.02597402597402597,0.0,0.006493506493506492,0.006493506493506492,0.03896103896103895,0.05844155844155843,0.03896103896103895,0.06493506493506493,0.75,0.14285714285714285,0.14285714285714285,0.17857142857142858
2015-01-04,0.18518518518518515,0.0,0.006172839506172838,0.0,0.06172839506172838,0.0,0.018518518518518514,0.024691358024691353,0.006172839506172838,0.006172839506172838,0.012345679012345677,0.006172839506172838,0.0,0.024691358024691353,0.018518518518518514,0.018518518518518514,0.06172839506172838,0.006172839506172838,0.0,0.018518518518518514,0.0,0.0,0.006172839506172838,0.006172839506172838,0.012345679012345677,0.0,0.006172839506172838,0.018518518518518514,0.024691358024691353,0.006172839506172838,0.006172839506172838,0.006172839506172838,0.04320987654320987,0.06790123456790122,0.03703703703703703,0.06790123456790122,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666
2015-01-11,0.18987341772151894,0.0,0.006329113924050632,0.0,0.06962025316455694,0.0,0.018987341772151896,0.025316455696202528,0.006329113924050632,0.006329113924050632,0.006329113924050632,0.006329113924050632,0.0,0.025316455696202528,0.018987341772151896,0.025316455696202528,0.05696202531645569,0.006329113924050632,0.0,0.018987341772151896,0.0,0.0,0.006329113924050632,0.006329113924050632,0.012658227848101264,0.0,0.006329113924050632,0.012658227848101264,0.025316455696202528,0.0,0.006329113924050632,0.006329113924050632,0.03797468354430379,0.05696202531645569,0.03797468354430379,0.06962025316455694,0.7666666666666667,0.13333333333333333,0.13333333333333333,0.16666666666666666
2015-01-18,0.169811320754717,0.0,0.006289308176100629,0.0,0.06918238993710692,0.0,0.018867924528301886,0.031446540880503145,0.006289308176100629,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.0,0.025157232704402517,0.018867924528301886,0.018867924528301886,0.05660377358490566,0.006289308176100629,0.0,0.018867924528301886,0.0,0.0,0.006289308176100629,0.006289308176100629,0.012578616352201259,0.0,0.012578616352201259,0.012578616352201259,0.025157232704402517,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.03773584905660377,0.06289308176100629,0.03773584905660377,0.06918238993710692,0.8888888888888888,0.14814814814814814,0.14814814814814814,0.14814814814814814
