Catégorie : Toutes catégories

Semaine,flu: (Californie),hygiene: (Californie),conjonctivis distancing: (Californie),drug use: (Californie),runny nose: (Californie)
2014-04-27,9,2,0,2,2
2014-05-04,8,2,0,2,1
2014-05-11,8,2,0,2,2
2014-05-18,8,2,0,2,1
2014-05-25,7,2,0,2,1
2014-06-01,8,2,0,1,1
2014-06-08,7,2,0,1,1
2014-06-15,6,2,0,2,1
2014-06-22,6,2,0,1,1
2014-06-29,6,2,0,2,1
2014-07-06,6,2,0,1,1
2014-07-13,6,2,0,2,1
2014-07-20,6,2,0,1,1
2014-07-27,6,2,0,1,1
2014-08-03,7,2,0,1,1
2014-08-10,6,2,0,1,1
2014-08-17,7,2,0,1,1
2014-08-24,8,2,0,1,1
2014-08-31,10,2,0,1,2
2014-09-07,14,2,0,1,2
2014-09-14,17,2,0,1,2
2014-09-21,21,2,0,2,1
2014-09-28,28,2,0,1,2
2014-10-05,29,2,0,2,2
2014-10-12,31,2,0,2,2
2014-10-19,32,2,0,2,1
2014-10-26,23,2,0,2,2
