Catégorie : Toutes catégories

Semaine,flu: (Californie),sinusitis: (Californie),stomach flu: (Californie),fatigue: (Californie)
2014-05-04,8,1,2,5
2014-05-11,8,1,3,5
2014-05-18,8,1,3,5
2014-05-25,7,1,2,5
2014-06-01,8,1,3,5
2014-06-08,7,1,2,5
2014-06-15,6,1,2,5
2014-06-22,6,1,2,5
2014-06-29,6,1,2,5
2014-07-06,6,1,2,5
2014-07-13,6,1,2,5
2014-07-20,6,1,2,5
2014-07-27,6,1,2,5
2014-08-03,7,1,1,5
2014-08-10,6,1,2,4
2014-08-17,7,1,2,5
2014-08-24,8,1,1,5
2014-08-31,10,1,1,5
2014-09-07,14,1,2,5
2014-09-14,17,1,2,4
2014-09-21,21,1,2,5
2014-09-28,28,1,2,5
2014-10-05,29,1,2,5
2014-10-12,31,1,2,5
2014-10-19,32,1,2,5
2014-10-26,23,1,2,5
