Catégorie : Toutes catégories

Semaine,flu: (Californie),sore throat: (Californie),dyspnea: (Californie),rhinorrhea: (Californie),throwing up: (Californie)
2012-01-08,14,7,< 1,0,3
2012-01-15,14,6,< 1,0,3
2012-01-22,13,6,< 1,0,3
2012-01-29,15,7,1,0,3
2012-02-05,14,7,1,0,3
2012-02-12,16,7,1,0,3
2012-02-19,16,8,1,0,3
2012-02-26,14,7,1,0,2
2012-03-04,14,8,1,0,3
2012-03-11,14,7,< 1,0,3
2012-03-18,13,6,< 1,< 1,3
2012-03-25,11,7,1,0,3
2012-04-01,10,7,< 1,0,3
2012-04-08,9,7,< 1,0,3
2012-04-15,9,6,1,0,3
2012-04-22,7,7,1,0,3
2012-04-29,7,7,1,< 1,3
2012-05-06,7,7,1,0,2
2012-05-13,7,7,1,0,3
2012-05-20,7,7,< 1,0,3
2012-05-27,6,7,< 1,0,3
2012-06-03,6,6,1,0,3
2012-06-10,6,6,< 1,0,3
2012-06-17,6,6,< 1,0,3
2012-06-24,6,6,< 1,0,3
2012-07-01,5,5,< 1,0,3
2012-07-08,6,6,1,0,3
2012-07-15,6,5,1,0,3
2012-07-22,5,6,< 1,0,3
2012-07-29,6,5,< 1,0,3
2012-08-05,6,5,1,0,3
2012-08-12,7,6,< 1,0,3
2012-08-19,7,6,< 1,0,3
2012-08-26,8,7,1,0,3
2012-09-02,11,7,1,0,3
2012-09-09,13,7,1,0,3
2012-09-16,16,7,1,0,3
2012-09-23,17,6,1,0,3
2012-09-30,22,7,1,0,4
2012-10-07,23,7,1,0,4
2012-10-14,26,7,1,< 1,4
2012-10-21,21,6,1,0,4
2012-10-28,20,7,< 1,0,4
2012-11-04,19,8,1,0,4
2012-11-11,22,8,1,0,4
2012-11-18,20,8,< 1,0,4
2012-11-25,21,8,1,0,4
2012-12-02,22,7,1,0,4
2012-12-09,18,8,1,0,3
2012-12-16,17,9,< 1,0,3
2012-12-23,21,11,< 1,0,4
2012-12-30,28,11,< 1,0,4
2013-01-06,98,10,1,0,3
2013-01-13,100,9,< 1,0,4
2013-01-20,69,10,< 1,0,4
2013-01-27,52,9,1,0,4
2013-02-03,34,9,1,0,4
2013-02-10,26,9,1,0,3
2013-02-17,24,9,1,0,4
2013-02-24,22,9,1,0,4
2013-03-03,18,9,< 1,0,3
2013-03-10,16,9,1,0,3
2013-03-17,14,9,1,0,3
2013-03-24,13,9,< 1,< 1,4
2013-03-31,13,8,1,0,4
2013-04-07,13,8,1,0,4
2013-04-14,11,8,< 1,0,3
2013-04-21,11,8,< 1,0,4
2013-04-28,11,9,1,0,4
2013-05-05,8,8,1,0,3
2013-05-12,8,7,1,0,3
2013-05-19,8,8,< 1,< 1,3
2013-05-26,7,7,1,0,4
2013-06-02,7,7,< 1,0,4
2013-06-09,6,7,1,0,4
2013-06-16,6,7,< 1,0,3
2013-06-23,6,7,< 1,0,4
2013-06-30,5,6,< 1,0,4
2013-07-07,5,6,< 1,0,3
2013-07-14,5,6,1,0,3
2013-07-21,6,6,1,0,4
2013-07-28,6,5,< 1,0,3
2013-08-04,6,6,< 1,0,3
2013-08-11,6,6,< 1,0,3
2013-08-18,7,7,< 1,0,3
2013-08-25,8,7,< 1,0,3
2013-09-01,10,7,1,0,3
2013-09-08,13,8,< 1,0,3
2013-09-15,16,8,1,0,3
2013-09-22,21,8,< 1,0,3
2013-09-29,25,8,1,0,3
2013-10-06,24,7,1,0,4
2013-10-13,24,7,1,0,3
2013-10-20,25,7,1,0,4
2013-10-27,23,7,1,< 1,4
2013-11-03,22,8,1,0,4
2013-11-10,22,8,1,0,4
2013-11-17,19,8,1,0,3
2013-11-24,16,8,1,0,4
2013-12-01,17,8,1,0,3
2013-12-08,17,8,1,0,4
2013-12-15,20,10,< 1,< 1,4
2013-12-22,25,11,< 1,0,5
2013-12-29,41,12,< 1,0,5
2014-01-05,73,10,< 1,0,4
2014-01-12,75,9,1,0,4
2014-01-19,58,9,1,0,4
2014-01-26,50,8,1,0,4
2014-02-02,34,8,1,0,4
2014-02-09,24,8,1,< 1,4
2014-02-16,18,9,1,0,3
2014-02-23,16,8,1,< 1,3
2014-03-02,13,8,1,0,3
2014-03-09,11,9,1,0,4
2014-03-16,10,9,1,0,3
2014-03-23,10,9,1,0,4
2014-03-30,10,9,1,0,4
2014-04-06,9,9,1,0,3
2014-04-13,9,9,1,0,4
2014-04-20,9,8,1,< 1,4
2014-04-27,9,8,1,0,3
2014-05-04,8,7,1,0,3
2014-05-11,8,8,1,0,3
2014-05-18,8,7,1,0,4
2014-05-25,7,7,< 1,0,4
2014-06-01,8,7,1,0,4
2014-06-08,7,7,1,0,4
2014-06-15,6,7,1,0,4
2014-06-22,6,7,1,0,4
2014-06-29,6,6,1,0,4
2014-07-06,6,6,1,0,4
2014-07-13,6,6,< 1,0,4
2014-07-20,6,6,1,0,3
2014-07-27,6,6,< 1,0,4
2014-08-03,7,6,1,0,4
2014-08-10,6,6,< 1,0,3
2014-08-17,7,6,1,0,3
2014-08-24,8,7,< 1,0,3
2014-08-31,10,7,< 1,0,3
2014-09-07,14,7,1,0,3
2014-09-14,17,7,1,0,3
2014-09-21,21,7,1,0,3
2014-09-28,28,7,1,0,3
2014-10-05,29,6,1,0,3
2014-10-12,31,7,1,0,3
2014-10-19,32,7,1,0,3
2014-10-26,23,6,1,0,4
