Catégorie : Toutes catégories

Semaine,flu: (Californie),chest pain: (Californie),arthralgia: (Californie),fainting: (Californie),pass out: (Californie)
2022-10-30,23,3,< 1,< 1,1
2022-11-06,23,3,< 1,< 1,1
2022-11-13,27,3,0,< 1,1
2022-11-20,27,3,< 1,1,1
2022-11-27,29,3,< 1,< 1,1
2022-12-04,28,3,< 1,< 1,1
2022-12-11,24,3,< 1,< 1,1
2022-12-18,25,3,< 1,1,1
2022-12-25,18,3,0,< 1,1
2023-01-01,13,4,0,< 1,1
2023-01-08,11,3,< 1,< 1,1
2023-01-15,9,4,< 1,< 1,1
2023-01-22,9,3,< 1,< 1,1
2023-01-29,9,3,< 1,1,1
2023-02-05,10,3,< 1,1,1
2023-02-12,9,3,< 1,1,1
2023-02-19,9,3,< 1,< 1,1
2023-02-26,9,3,< 1,< 1,1
2023-03-05,9,3,< 1,< 1,1
2023-03-12,8,3,< 1,< 1,1
2023-03-19,7,3,< 1,1,1
2023-03-26,7,3,< 1,1,1
2023-04-02,7,3,< 1,< 1,1
2023-04-09,7,3,< 1,1,1
2023-04-16,6,3,< 1,< 1,1
2023-04-23,6,3,< 1,1,1
2023-04-30,5,3,< 1,< 1,1
2023-05-07,6,3,< 1,1,1
2023-05-14,6,3,< 1,1,1
2023-05-21,5,3,0,1,1
2023-05-28,5,3,< 1,< 1,1
2023-06-04,5,3,0,< 1,1
2023-06-11,5,3,< 1,1,1
2023-06-18,5,3,< 1,< 1,1
2023-06-25,4,3,< 1,1,1
2023-07-02,4,3,< 1,< 1,1
2023-07-09,4,3,< 1,< 1,1
2023-07-16,4,3,< 1,1,1
2023-07-23,4,3,< 1,1,1
2023-07-30,5,3,< 1,< 1,1
2023-08-06,5,3,< 1,1,1
2023-08-13,6,3,< 1,< 1,1
2023-08-20,7,3,< 1,< 1,1
2023-08-27,9,3,< 1,1,1
2023-09-03,10,3,< 1,< 1,1
2023-09-10,13,3,0,< 1,1
2023-09-17,13,3,< 1,1,1
2023-09-24,14,3,< 1,< 1,1
2023-10-01,15,3,< 1,< 1,1
2023-10-08,14,3,< 1,< 1,1
2023-10-15,14,3,< 1,1,1
2023-10-22,13,3,< 1,< 1,1
2023-10-29,13,3,< 1,< 1,1
2023-11-05,13,3,< 1,< 1,1
2023-11-12,14,3,< 1,< 1,1
2023-11-19,12,3,< 1,< 1,1
2023-11-26,13,3,< 1,< 1,1
2023-12-03,14,3,< 1,< 1,1
2023-12-10,17,3,< 1,< 1,1
2023-12-17,20,4,0,< 1,1
2023-12-24,18,3,< 1,< 1,1
2023-12-31,17,3,< 1,< 1,1
2024-01-07,13,3,< 1,< 1,1
2024-01-14,11,3,< 1,1,1
2024-01-21,10,3,< 1,< 1,1
2024-01-28,11,3,< 1,1,1
2024-02-04,9,3,< 1,< 1,1
2024-02-11,8,3,< 1,< 1,1
2024-02-18,10,3,< 1,1,1
2024-02-25,8,3,< 1,1,1
2024-03-03,7,3,< 1,< 1,1
2024-03-10,8,3,< 1,1,1
2024-03-17,7,3,< 1,1,1
2024-03-24,7,3,< 1,< 1,1
2024-03-31,8,3,< 1,< 1,1
2024-04-07,7,3,0,< 1,1
2024-04-14,7,3,< 1,< 1,1
2024-04-21,8,3,< 1,1,1
2024-04-28,8,3,< 1,< 1,1
2024-05-05,7,3,< 1,< 1,1
2024-05-12,7,3,< 1,< 1,1
2024-05-19,7,3,< 1,1,1
2024-05-26,7,3,< 1,< 1,1
2024-06-02,8,3,0,1,1
2024-06-09,7,3,0,< 1,1
2024-06-16,7,3,< 1,< 1,1
2024-06-23,6,3,< 1,< 1,1
2024-06-30,5,3,< 1,1,1
2024-07-07,6,3,< 1,< 1,1
2024-07-14,6,3,< 1,1,1
2024-07-21,5,3,< 1,1,1
2024-07-28,6,3,< 1,< 1,1
2024-08-04,6,3,< 1,1,1
2024-08-11,6,3,< 1,1,1
2024-08-18,7,3,< 1,< 1,1
2024-08-25,8,3,< 1,< 1,1
2024-09-01,9,3,< 1,< 1,1
2024-09-08,11,3,< 1,< 1,1
2024-09-15,11,3,< 1,1,1
2024-09-22,11,3,< 1,< 1,1
2024-09-29,13,3,< 1,< 1,1
2024-10-06,12,3,< 1,< 1,1
2024-10-13,12,3,< 1,< 1,1
2024-10-20,11,3,< 1,1,1
2024-10-27,11,3,< 1,1,1
2024-11-03,12,3,< 1,< 1,1
2024-11-10,14,3,< 1,< 1,1
2024-11-17,15,3,< 1,< 1,1
