Catégorie : Toutes catégories

Semaine,flu: (Californie),sinusitus: (Californie),stomach flu: (Californie),fatigue: (Californie)
2018-06-03,8,0,2,5
2018-06-10,8,0,2,5
2018-06-17,8,0,2,5
2018-06-24,7,0,2,5
2018-07-01,6,0,2,5
2018-07-08,7,0,2,5
2018-07-15,6,0,2,5
2018-07-22,6,0,2,5
2018-07-29,7,0,2,5
2018-08-05,7,0,2,5
2018-08-12,8,0,2,5
2018-08-19,9,0,2,5
2018-08-26,11,0,2,5
2018-09-02,16,0,2,5
2018-09-09,18,0,2,5
2018-09-16,20,0,2,5
2018-09-23,28,0,2,5
2018-09-30,33,0,2,5
2018-10-07,33,0,2,5
2018-10-14,35,0,2,5
2018-10-21,30,0,3,5
2018-10-28,27,0,2,4
2018-11-04,24,< 1,3,5
2018-11-11,21,0,3,4
2018-11-18,20,0,4,3
2018-11-25,21,0,4,4
2018-12-02,20,0,4,4
2018-12-09,20,0,4,4
2018-12-16,23,0,4,4
2018-12-23,26,0,4,4
2018-12-30,31,0,5,4
2019-01-06,33,0,5,4
2019-01-13,23,0,4,4
2019-01-20,22,0,3,4
2019-01-27,24,0,3,5
2019-02-03,22,0,3,5
2019-02-10,21,0,3,4
2019-02-17,22,0,3,4
2019-02-24,23,0,3,5
2019-03-03,22,0,3,5
2019-03-10,20,0,3,5
2019-03-17,21,0,3,5
2019-03-24,18,0,3,5
2019-03-31,16,0,3,5
2019-04-07,14,0,3,5
2019-04-14,13,0,3,5
2019-04-21,12,0,2,5
2019-04-28,11,0,2,5
2019-05-05,11,0,2,6
2019-05-12,10,0,2,5
2019-05-19,11,0,3,5
2019-05-26,10,0,2,5
2019-06-02,10,0,2,5
2019-06-09,8,0,2,5
2019-06-16,8,0,2,5
2019-06-23,8,0,2,5
2019-06-30,7,0,2,4
2019-07-07,8,0,2,5
2019-07-14,8,0,2,5
2019-07-21,7,0,2,5
2019-07-28,7,0,2,5
2019-08-04,8,0,2,4
2019-08-11,8,0,2,5
2019-08-18,10,0,2,5
2019-08-25,11,0,2,5
2019-09-01,13,0,2,5
2019-09-08,17,0,2,5
2019-09-15,22,0,2,5
2019-09-22,31,0,2,5
2019-09-29,38,0,2,5
2019-10-06,35,0,2,5
2019-10-13,35,0,3,5
2019-10-20,32,0,3,5
2019-10-27,27,0,3,4
2019-11-03,29,0,4,5
2019-11-10,27,0,5,4
2019-11-17,27,0,5,4
