Catégorie : Toutes catégories

Semaine,flu: (Californie),feeling cold: (Californie),difficulty breathing: (Californie),sneezing: (Californie),dry cough: (Californie)
2017-01-29,19,1,< 1,2,1
2017-02-05,19,< 1,< 1,2,1
2017-02-12,16,< 1,< 1,2,1
2017-02-19,15,< 1,< 1,2,1
2017-02-26,14,< 1,< 1,2,1
2017-03-05,14,< 1,< 1,2,1
2017-03-12,13,< 1,< 1,2,2
2017-03-19,12,< 1,< 1,2,1
2017-03-26,11,< 1,< 1,2,1
2017-04-02,12,< 1,< 1,2,1
2017-04-09,12,< 1,< 1,2,1
2017-04-16,13,< 1,< 1,2,1
2017-04-23,12,< 1,< 1,2,1
2017-04-30,10,< 1,< 1,2,1
2017-05-07,11,< 1,< 1,2,1
2017-05-14,12,< 1,< 1,2,1
2017-05-21,11,< 1,< 1,2,1
2017-05-28,10,< 1,< 1,2,1
2017-06-04,9,< 1,< 1,2,1
2017-06-11,9,< 1,< 1,2,1
2017-06-18,7,< 1,< 1,2,1
2017-06-25,7,< 1,< 1,2,1
2017-07-02,7,< 1,< 1,2,1
2017-07-09,7,< 1,< 1,2,1
2017-07-16,6,< 1,< 1,2,1
2017-07-23,7,< 1,< 1,1,1
2017-07-30,6,< 1,< 1,2,1
2017-08-06,7,< 1,< 1,1,1
2017-08-13,8,< 1,< 1,2,1
2017-08-20,9,< 1,< 1,2,1
2017-08-27,9,< 1,< 1,2,1
2017-09-03,12,< 1,< 1,2,1
2017-09-10,16,< 1,< 1,2,1
2017-09-17,19,< 1,< 1,2,1
2017-09-24,24,< 1,< 1,2,1
2017-10-01,22,< 1,< 1,2,1
2017-10-08,21,< 1,< 1,2,1
2017-10-15,23,< 1,< 1,2,1
2017-10-22,21,< 1,< 1,2,1
2017-10-29,20,< 1,< 1,2,1
2017-11-05,21,< 1,< 1,2,1
2017-11-12,18,< 1,< 1,2,1
2017-11-19,17,< 1,< 1,2,1
2017-11-26,19,< 1,< 1,2,1
2017-12-03,21,< 1,< 1,2,1
2017-12-10,23,1,< 1,2,1
2017-12-17,36,1,< 1,2,2
2017-12-24,62,1,< 1,3,3
2017-12-31,80,1,< 1,2,3
2018-01-07,98,1,< 1,2,2
2018-01-14,100,1,< 1,2,2
2018-01-21,88,1,< 1,2,2
2018-01-28,76,< 1,< 1,2,2
2018-02-04,67,< 1,< 1,2,2
2018-02-11,56,1,< 1,2,2
2018-02-18,38,1,< 1,2,1
2018-02-25,33,1,< 1,2,1
2018-03-04,27,< 1,< 1,2,1
2018-03-11,22,< 1,< 1,2,1
2018-03-18,17,< 1,< 1,2,1
2018-03-25,17,< 1,< 1,2,1
2018-04-01,16,< 1,< 1,2,1
2018-04-08,13,< 1,< 1,2,1
2018-04-15,12,< 1,< 1,2,1
2018-04-22,11,< 1,< 1,2,1
2018-04-29,11,< 1,< 1,2,1
2018-05-06,10,< 1,< 1,2,1
2018-05-13,9,< 1,< 1,2,1
2018-05-20,9,< 1,< 1,2,1
2018-05-27,9,< 1,< 1,2,1
2018-06-03,8,< 1,< 1,2,1
2018-06-10,8,< 1,< 1,2,1
2018-06-17,8,< 1,< 1,2,1
2018-06-24,7,< 1,< 1,2,1
2018-07-01,6,< 1,< 1,2,1
2018-07-08,7,< 1,< 1,2,1
2018-07-15,6,< 1,< 1,2,1
2018-07-22,6,< 1,< 1,2,1
2018-07-29,7,< 1,< 1,2,1
2018-08-05,7,< 1,< 1,2,1
2018-08-12,8,< 1,< 1,2,1
2018-08-19,9,< 1,< 1,2,1
2018-08-26,11,< 1,< 1,2,1
2018-09-02,16,< 1,< 1,2,1
2018-09-09,18,< 1,< 1,2,1
2018-09-16,20,< 1,< 1,2,1
2018-09-23,28,< 1,< 1,2,1
2018-09-30,33,< 1,< 1,2,1
2018-10-07,33,< 1,< 1,2,1
2018-10-14,35,1,< 1,2,1
2018-10-21,30,< 1,< 1,2,1
2018-10-28,27,< 1,< 1,2,1
2018-11-04,24,< 1,< 1,2,1
2018-11-11,21,1,< 1,2,1
